67.28,28,Mr,00_09_46
71.04,28,Mr,00_24_47
63.3,28,Mr,00_39_49
72.38,28,Mr,00_54_50
69.41,28,Mr,01_09_51
68.33,28,Mr,01_24_52
68.24,28,Mr,01_39_53
61.47,28,Mr,01_54_54
64.4,28,Mr,02_09_56
60.22,28,Mr,02_24_57
64.34,28,Mr,02_39_58
65.02,28,Mr,02_54_59
63.13,28,Mr,03_10_01
63.27,28,Mr,03_25_02
62.1,28,Mr,03_40_03
66.44,28,Mr,03_55_04
56.39,28,Mr,04_10_05
58.21,28,Mr,04_25_06
54.4,28,Mr,04_40_07
56.37,28,Mr,04_55_08
54.31,28,Mr,05_10_10
55.57,28,Mr,05_25_11
53.39,28,Mr,05_40_11
53.29,28,Mr,05_55_13
57.16,28,Mr,06_10_14
57.56,28,Mr,06_25_15
57.11,28,Mr,06_40_16
55.56,28,Mr,06_55_17
54.52,28,Mr,07_10_18
59.2,28,Mr,07_25_19
53.02,28,Mr,07_40_20
58.45,28,Mr,07_55_21
54.02,28,Mr,08_10_23
56.08,28,Mr,08_25_24
54.46,28,Mr,08_40_25
53.12,28,Mr,08_55_26
53.48,28,Mr,09_10_27
55.55,28,Mr,09_25_28
55.57,28,Mr,09_40_29
53.17,28,Mr,09_55_30
53.41,28,Mr,10_10_31
53.31,28,Mr,10_25_32
52.47,28,Mr,10_40_34
53.01,28,Mr,10_55_35
54.0,28,Mr,11_10_36
57.22,28,Mr,11_25_37
54.33,28,Mr,11_40_38
54.13,28,Mr,11_55_39
52.12,28,Mr,12_10_40
55.47,28,Mr,12_25_41
58.26,28,Mr,12_40_42
55.56,28,Mr,12_55_43
51.1,28,Mr,13_10_44
52.21,28,Mr,13_25_46
51.23,28,Mr,13_40_47
53.11,28,Mr,13_55_48
57.5,28,Mr,14_10_49
57.28,28,Mr,14_25_50
63.55,28,Mr,14_40_51
65.4,28,Mr,14_55_52
60.32,28,Mr,15_10_53
61.08,28,Mr,15_25_54
65.02,28,Mr,15_40_55
58.03,28,Mr,15_55_56
65.54,28,Mr,16_10_58
54.44,28,Mr,16_25_59
57.08,28,Mr,16_41_00
55.53,28,Mr,16_56_01
57.02,28,Mr,17_11_02
54.2,28,Mr,17_26_03
54.56,28,Mr,17_41_05
60.29,28,Mr,17_56_06
67.47,28,Mr,18_11_07
63.52,28,Mr,18_26_08
64.46,28,Mr,18_41_09
68.2,28,Mr,18_56_10
57.51,28,Mr,19_11_12
62.03,28,Mr,19_26_13
54.01,28,Mr,19_41_14
62.06,28,Mr,19_56_15
